S C:\Onyx_Workspace> python train_onyx.py
🧠 Loading existing weights for refinement...
🚀 Starting Sliding Micro-Drill. Data Size: 49152 bytes.
🎯 Targeting zero-error at Byte 257 transition.
Epoch 2 | Byte 500/48896 | Loss: 0.0007630555
Epoch 2 | Byte 1000/48896 | Loss: 0.0003969830
Epoch 2 | Byte 1500/48896 | Loss: 0.0168887805
Epoch 2 | Byte 2000/48896 | Loss: 0.0033015071
Epoch 2 | Byte 2500/48896 | Loss: 0.0098028826
Epoch 2 | Byte 3000/48896 | Loss: 0.0018855919
Epoch 2 | Byte 3500/48896 | Loss: 0.0089070667
Epoch 2 | Byte 4000/48896 | Loss: 0.0009743492
Epoch 2 | Byte 4500/48896 | Loss: 0.0007160316
Epoch 2 | Byte 5000/48896 | Loss: 0.0153146898
Epoch 2 | Byte 5500/48896 | Loss: 0.0008350449
Epoch 2 | Byte 6000/48896 | Loss: 0.0035986537
Epoch 2 | Byte 6500/48896 | Loss: 0.0005311166
Epoch 2 | Byte 7000/48896 | Loss: 0.0005672737
Epoch 2 | Byte 7500/48896 | Loss: 0.0063226614
Epoch 2 | Byte 8000/48896 | Loss: 0.0086276522
Epoch 2 | Byte 8500/48896 | Loss: 0.0029290463
Epoch 2 | Byte 9000/48896 | Loss: 0.0029420787
Epoch 2 | Byte 9500/48896 | Loss: 0.0082716458
Epoch 2 | Byte 10000/48896 | Loss: 0.0212741327
Epoch 2 | Byte 10500/48896 | Loss: 0.0091327718
Epoch 2 | Byte 11000/48896 | Loss: 0.0234024487
Epoch 2 | Byte 11500/48896 | Loss: 0.0143811284
Epoch 2 | Byte 12000/48896 | Loss: 0.0017677987
Epoch 2 | Byte 12500/48896 | Loss: 0.0005563578
Epoch 2 | Byte 13000/48896 | Loss: 0.0045624925
Epoch 2 | Byte 13500/48896 | Loss: 0.0003669224
Epoch 2 | Byte 14000/48896 | Loss: 0.0141412448
Epoch 2 | Byte 14500/48896 | Loss: 0.0097209113
Epoch 2 | Byte 15000/48896 | Loss: 0.0096051302
Epoch 2 | Byte 15500/48896 | Loss: 0.0151357744
Epoch 2 | Byte 16000/48896 | Loss: 0.0002626711
Epoch 2 | Byte 16500/48896 | Loss: 0.0090863258
Epoch 2 | Byte 17000/48896 | Loss: 0.0095397746
Epoch 2 | Byte 17500/48896 | Loss: 0.0053570447
Epoch 2 | Byte 18000/48896 | Loss: 0.0030342720
Epoch 2 | Byte 18500/48896 | Loss: 0.0010384667
Epoch 2 | Byte 19000/48896 | Loss: 0.0090165166
Epoch 2 | Byte 19500/48896 | Loss: 0.0112116169
Epoch 2 | Byte 20000/48896 | Loss: 0.0221752040
Epoch 2 | Byte 20500/48896 | Loss: 0.0114588570
Epoch 2 | Byte 21000/48896 | Loss: 0.0139420731
Epoch 2 | Byte 21500/48896 | Loss: 0.0003079724
Epoch 2 | Byte 22000/48896 | Loss: 0.0040519005
Epoch 2 | Byte 22500/48896 | Loss: 0.0028515970
Epoch 2 | Byte 23000/48896 | Loss: 0.0055656251
Epoch 2 | Byte 23500/48896 | Loss: 0.0016918472
Epoch 2 | Byte 24000/48896 | Loss: 0.0084785577
Epoch 2 | Byte 24500/48896 | Loss: 0.0030304638
Epoch 2 | Byte 25000/48896 | Loss: 0.0035375226
Epoch 2 | Byte 25500/48896 | Loss: 0.0053292830
Epoch 2 | Byte 26000/48896 | Loss: 0.0095793493
Epoch 2 | Byte 26500/48896 | Loss: 0.0109678768
Epoch 2 | Byte 27000/48896 | Loss: 0.0023120060
Epoch 2 | Byte 27500/48896 | Loss: 0.0069029597
Epoch 2 | Byte 28000/48896 | Loss: 0.0197498538
